server_timestamp,arduino_timestamp,X,Y,Z
2025-11-02 20:35:44.219,1153186,0.062,-0.625,-0.156
2025-11-02 20:35:44.454,1153421,-0.312,-0.969,-0.125
2025-11-02 20:35:44.681,1153655,-0.625,-1.000,-0.062
2025-11-02 20:35:44.915,1153883,-0.750,-0.531,-0.250
2025-11-02 20:35:45.146,1154117,-0.844,-0.406,-0.250
2025-11-02 20:35:45.388,1154346,-0.906,-0.344,-0.187
2025-11-02 20:35:45.649,1154591,-0.875,-0.344,-0.156
2025-11-02 20:35:45.888,1154855,-0.969,-0.312,-0.281
2025-11-02 20:35:46.134,1155089,-0.781,-0.656,-0.406
2025-11-02 20:35:46.380,1155344,-0.250,-0.531,-0.406
2025-11-02 20:35:46.614,1155581,0.062,-1.000,-0.156
2025-11-02 20:35:46.854,1155821,0.156,-0.781,-0.187
2025-11-02 20:35:47.081,1156055,0.062,-0.750,-0.031
2025-11-02 20:35:47.314,1156282,-0.156,-0.656,-0.219
